Ground Truth,Language,Comments
Neutral,Urdu,تم اس کو بولو میں خان🌷🌷🌷🌷👍👍👍
Neutral,Urdu,کمال بات ۔۔ ۔ اسی طرح بُرا ہونا بری بات ہے لیکن جانتے بوجھتے پڑھ لکھ کر برا بننے کی سر توڑ کوشش اس سے بھی بڑا ڈی زاسٹر ہے ۔۔😀
Neutral,Urdu,پٹواریو ڈرو 😱اس وقت سے جب پنکی کتاب لکھے گی۔۔ ✍️ میں تے سوچ ریاں او کی کی لکھے گی۔۔🤔😳
Neutral,Urdu,واہ واہ صاحب بہت اعلی 👍👍
Neutral,Urdu,چاچا تو تے دل تے ای لے لی اے😆😆😆 استعفیٰ دے تے پی ٹی آئی دے ٹکٹ تے الیکشن لڑ کے ویکھ لے تینوں لگ پتا جائ…
Neutral,Urdu,᷂شكــٓو ’ ۦ✿⇣ صاير ᷂شــٓيہہُ˿͢
Neutral,Urdu,😂 تم صحافیوں سے طوائف اچھی سر عام بکتی ھے
Neutral,Urdu,ٹھیک کہا آپ نے 🌷🌷🌷👌 👌🌷🌷💖👌
Neutral,Urdu,کی پتا بیچارے نوں سیکرٹری وی دتا ھونا کہ نہیں😂😂
Neutral,Urdu,اور پھر خاک ہوئیں مہبتیں دونوں کی دونوں نے گھر بسائے _________ جدا جدا 💔
Neutral,Urdu,بہت ہی ڈھیٹ ہے جگو دادا 😂😂😂
Neutral,Urdu,یہ جادو ہمیں بھی آتے ہیں مگر وہ پہلے ہی کسی اور کا شکار ہو جاتے ہیں 😂😂😂
Neutral,Urdu,اینا نو اے نہیں پتہ سی کہ ساڈی نسل کس نو ملدی ھے ترکو ، مغلوں ، بھگت سینگھ یا فر رنجیت سینگھ 😂🙏
Neutral,Urdu,فرید بھائی ہُن تُسی آپ لایا اے ویزا چوھدری دا، ساڈے تو چنگا کہہ کے تُسی سٹپ لاتی اودے ویزے دی😅
Neutral,Urdu,ھھھھھھھھھھھھھھھھھھھھھھھھھھھھھھہَ 😹🏃🏻‍♂️
Neutral,Urdu,مرزئی
Neutral,Urdu,سندھ پولیس نے سندھ سرکار اور اداروں کی مدد سے عوام کو چونا لگا دیا ۔ مزے کی بات یہ ہے کہ عوام نے یہ چونا خوشی خوشی لگوا بھی لیا ۔ سندھ پولیس جو کٹہرے میں کھڑی ہونا چاہیے تھی ۔ اسکی واہ واہ ہورہی ہے ۔ یقین جانئیے ۔ آپ جیسے احمق اسی نظام کے لائق ہیں ۔ ✌🏽👍🏼👏🏻
Neutral,Urdu,اس دنیا میں محنت کبھی rewarded نہیں ہوتی رزلٹس rewarded ہوتے ہیں کھلاڑی جب کھیل کے لیے جاتا ہے تو اس کو چھوڑ کر آنے والے چند لوگ ہوتے ہیں اگر وہ جیت کر آئے تو ہزاروں لوگ استقبال کرتے ہیں دنیا رزلٹ دیکھتی ہے محنت نہیں 🍁 Aysha_Khan
Neutral,Urdu,جن کی اپنی بیس تیس شوگر ملیں ہیں وہی چینی مہنگی ہونے کا شور مچا رہے ہیں۔ 😂
Neutral,Urdu,توڑ دیا گیا 😔
Neutral,Urdu,بہت خوش نصیب ہو آپ ۔😭😭
Neutral,Urdu,اب آ گیا ہوں 😂😂🤧
Neutral,Urdu,تازہ ترین سندھ کے مختلف شہروں میں پولیس سپاھیوں نے اسلحہ جمع کروانا شروع کردیا ھے 💪 لیکن وصول کون کریں 31 افسر تو چھٹی پر گئے
Neutral,Urdu,ابھی تو یہ شروعاتی لاتیں ہیں جو تم للوتھیوں کی گ پر پڑی ہیں اگے اگے دیکھو تم انگلی بھی خود اپنے اندر ڈالو گے😝😂😂
Neutral,Urdu,اگر کسی کو چاہو تو اس طرح چاہو وہ زندہ تو رہے مگر صرف تمہارے لئے محفل_سخن 👇
Neutral,Urdu,چند لمحوں کی ملاقات ہمیں چاہیے ہی نہیں ہم تیری قربت میں جاگیں گے پوری رات مسلسل محفل_سخن 👇
Neutral,Urdu,باتوں باتوں میں هم کو بچهڑنے کا اشاره کر کے 💔 وه بهی بهت رویا هم سے کنارا کر کے 💘
Neutral,Urdu,اور باونڈری سے باہر 😅😅😅
Neutral,Urdu,میں ایک نہیں بلکہ دو بچوں کی نانی ہوں، مریم صفدر ھم جو ٹھان لیں منوا کر رھتے ھیں✌🙌 امید ھے اب نعرے میں بھی تبدیلی ھوگی۔۔۔…
Neutral,Urdu,اس کی سچ میں شادی ہو گئی ہے کہ ڈرامے کر رہی ہے؟😞
Neutral,Urdu,اس بیچارے کے برے دن چل رہے ہیں پہلے اویس ربانی نے ناک میں دم کر رکھا تھا اور اب یہ
Neutral,Urdu,واہ 😍😍 بہت خوب
Neutral,Urdu,ہمارے پاس جو ڈگری ہے نفسیات کی ہے رویہ کیسے بدلتا ہے ہم سمجھتے ہیں 💔
Neutral,Urdu,ہزاروں ناکام حسرتوں کے بوجھ تلے یہ جو دل دھڑکتا ہے، کمال کرتا ہے ۔🖤🔥
Neutral,Urdu,اپنا وقار بلند کرنے کیلئے کسی کی بَلی تو چڑھانی ہی ہے تو اس وقت نیازی سے بہتر کوئی نہیں 😊😊
Neutral,Urdu,👈رات کو سونے سے پہلے ریٹویٹ 🔁 کرتے جائیں اور 300 فالوورز کا اضافہ یقینی💯 👈ابھی دیر نہ کریں جلدی سے ریٹویٹ کریں اور اپنا ہینڈل مینشن کر دیں 💞 ⤵️ Follow ...
Neutral,Urdu,قبرستان کے سامنے تھے ، وھیں اُسی وقت آپ کو دفنایا کیوں نہیں گیا ؟ جی آپ کو سمجھ آئی کیسے کچھ رُولز فالو کرنے پڑتے ھیں؟😂😛 آدم…
Neutral,Urdu,21 توپیو کی سلامی ان لڑکیوں کے لیے جو ٹویٹ پر ٹھرکیوں کا ہجوم دیکھ کر خود کو سٹار سمجھنے لگتی ہیں_😷
Neutral,Urdu,وہ سندھ پولیس نے آج بتی بنا کر `` کمپنی '' کو دے دی ہے 😂😂😂😂
Neutral,Urdu,*خدا کرے تا عمر تجھے میری کمی رہے* 💯 *خدا کرے تیری عمر دراز ہو* 🥀 اردو_زبان
Neutral,Urdu,آپ نے صفدر کے حق میں ووٹ کیا 😲 🇵🇰 ہو
Neutral,Urdu,شکریہ سندھ پولیس کار جس نے چھٹی دس دن کے لیے موخر کی ❤❤❤❤
Neutral,Urdu,عمران خان نے ابھی ٹی وی نہیں دیکھا جب وہ ٹی وی دیکھیں گے تو نوٹس لے لیں گے پولیس والے کون سے کہیں بھاگ رہے ہیں سائیں بزدار کی نیند میں کروٹ بدلتے ہوئے منمناہٹ 😁😁😁 WeStandWithSindhPolice
Neutral,Urdu,ہر خاص و عام کو مطلع کیا جاتا ہے کہ بوجہ کمر درد میرا WeStandWithSindhPolice آہو 🙏🙏🙏
Neutral,Urdu,سمجھ آئی یا جو تھی وہ بھی گئی🤣👇🏻 ایک آدمی بینک گیا اور کیش کاؤنٹر پہ ایک چیک نکال کے دیا ، اور پوچھا کہ یہ رقم کتنے دنوں میں…
Neutral,Urdu,سب دکھتا ہے سب نظر آتا ہے
Neutral,Urdu,اے وی آرمی تے پا دیو۔۔۔😎😂😎
Neutral,Urdu,اگلی لسٹ کیلئےریٹویٹ اورمجھےفالوکریں1000فالوورزحاصل کریں
Neutral,Urdu,جینے کی دعا بهی کوئی دعا ہوئی بهلا ہمیں دعا دیجیے صرف ان کے ساتھ کی محفل_سخن 👇
Neutral,Urdu,دل_کی_صدا کنفرم فالو کریں بیک کیلئے 💯💯💯💯💯💯
Neutral,Urdu,صبح نو بجے کا اٹھا ہوا ہوں اور ابھی تک ناشتہ نہیں کیا وہ الگ بـات ہے کہ کھانا دوسـری مرتبـہ کھا رہا ہوں 😒
Neutral,Urdu,کریلے گوشت والی ٹرم ایجاد کرنے پر تھوڑی داد بھی بنتی ہے خواجہ صاحب کے لیے 😀
Neutral,Urdu,کہ ان سب کو ختم کر دو ۔ کبھی سوچا ہے یہ متشدد سوچ ہمارے معاشرے میں کس طرح پروان چڑھی ہے ؟ یہ اس لیے ہوا جب عوام نے کھلے دماغ سے سوچنا شروع کیا تو انہیں ہر انسان فراڈ نظر آیا جو حقیقت بھی ہے میڈیا سے لے کر ایوانوں تک اور اسکے بعد اداروں تک ہر بندہ عوام پر دھونس جمانے میں لگا ہے 👇
Neutral,Urdu,یہ چیز 😍😍
Neutral,Urdu,300 فالورز کا اضافہ کریں لسٹ میں شامل ہونے کے لیے آئی ڈی مینشن کریں ریٹوئیٹ کریں 🔄 ریٹوئیٹ والوں کو فالو کریں اور فالو بیک…
Neutral,Urdu,دل ہے ٹوٹا، ٹوٹے ہیں ہم۔💔
Neutral,Urdu,باجی بندہ کردہ گناہ توں قتل ہووے تے ہور گل اے، تسیں ناکردہ گناہ وچ ملنگ دی گِچّی تڑوا دینی 😭
Negative - Respond,English,"Senator Sanders, what needs to be done really is to be brave and to stop funding this Zionist regime altogether and to bring its war criminal gang to the Hague, otherwise you are all complicit in the genocide of the Palestinians."
Negative - Respond,English,waste of money. not comfortable and it got fold whenever i sit
Negative - Respond,English,Shoes اور OK as per price. But packing is all broke and old.
Negative - Respond,English,"product received safely, and the packing so far good,but the quality of the product is very poor. its was my first purchase and it is not worth of money.
after 2 to 3 hrs charging the battery not last even a hour, and during call voice quality is worse...
to seller i want to say,
take the price what you want, but at least dnt cheat ok please..."
Negative - Respond,English,Maybe in 1990 hahaha today's economy no one's 9-5 pays their bills that's why we all have 6-10's after the 9-5 and that's just so we can have food after bills and gas to get back to the 9-5. Nowadays we hustling just to make ends meet my guy.
Negative - Respond,English,"damned. I end up in everyone's friend zone. because they think I'm great, but wouldn't be a partner for them (don't look for pity, it's just the truth...)"
Negative - Respond,English,it was broken and high price
Negative - Respond,English,Review may my aplogo ko ye batao ky mera watch chal nahi raha es mai na koi buttton hy na chrger waghaira mai kesy strt karo usy
Negative - Respond,English,Not good plastic and have a bad smell of it and not good quality of it i don't like it
Negative - Respond,English,"It was not a good experience
I ordered i12 but received i15,🥱"
Negative - Respond,English,it's not light up
Negative - Respond,English,Never been scared my whole life except this
Negative - Respond,English,Solid point. Last time Israel gave “Palestinians” sovereignty over Gaza it worked out well for…the 4 billionaires who run Hamas. Why aren’t you calling for a tax on hamas’ billionaires Senator?
Negative - Respond,English,The sexual wellness product I ordered from Daraz was poorly designed and uncomfortable to use. The material used was cheap and caused irritation and discomfort. It was clear that the product lacked proper quality control and attention to user experience.
Negative - Respond,English,Quality issues with bags. Disappointed with this seller
Negative - Respond,English,Songs good fits suck tho
Negative - Respond,English,It was not good the package came and when I opened it it was broken
Negative - Respond,English,Very Disapointed!!! very weak motor. It does not even beat coffee. DONT WASTE MONEY ON IT
Negative - Respond,English,"I receive my package but I am not satisfied, cause it was not glowing in the dark . VERY BAD QULITY
NOT RECOMMENDED"
Negative - Respond,English,the light didn't work when I used the remote after doing everything in the instructions.
Negative - Respond,English,What an interesting dance around which side he falls on by stating those who suffer. Fascinating revelation of self.
Negative - Respond,English,"this is not working, it's like waste of money , so disappointed"
Negative - Respond,English,Very Bad Quality Product 1 Hafta B Nhe Chali
Negative - Respond,English,shame on this dressing
Negative - Respond,English,Fake ones.. These r not original ones as i got from another seller previously.. Low grade replicas dont recommend at all. They dont have figer space joiners. Also poor stitching with pathetic nylon fabric. Irregular finger shapes.
Negative - Respond,English,same as shown but quality is very third class.
Negative - Respond,English,DONT BUY THESE SHOES. The quality and material is even though good and same as shown in pic. But these are not comfortable at all. The high sole is extremely difficult to walk in. It keep flimsing me.
Negative - Respond,English,sorry but no light fake stars
Negative - Respond,English,not satisfied it is not comfortable and not same as shown in the picture
Negative - Respond,English,"its a pathetic, overpriced product. it does not have 4gb ram. in actual it has 512mb ram, hacked android software and is extremely laggy. absolute waste of money"
Negative - Respond,English,Worst peeler dont buy at all waste of money
Negative - Respond,English,"Fan was not working when I received it, They have no concept of testing. Before delivering the product to the customer, couldn't check it by turning it on and off. They are Scamming people, Guys you will waste your time if you buy from them."
Negative - Respond,English,Probably the worst item I have ever gotten of daraz the lights did not work at all no matter what I did and got no response from the customer service 0/10 would never recommend.
Negative - Respond,English,No glow no light.just only stars.no 3D only simple stars waste my time and rupes.too much bed quality
Negative - Respond,English,totally damage shoes bad experience
Negative - Respond,English,looking so valgar and weird
Negative - Respond,English,It was ok
Negative - Respond,English,Don't disagree with Bernie on this one. I hope a coalition of nations can take on that role leading to a far better situation for the Palestinians.
Negative - Respond,English,Disappointed very very bad experience. Low quality of material.
Negative - Respond,English,Most ppeople can get fttc or 4g service. This is overly priced and poorly built.
Negative - Respond,English,poor quality
Negative - Respond,English,It would be great if our taxes didn't go up like every year.
Negative - Respond,English,not at desired standard. price are also high like product. in local market two or three hundred available.
Negative - Respond,English,These airpods are so expensive in low price.Mashallah bht awesome hn with long battery.I like it very much......
Negative - Respond,English,neutralMBER OF STARS WERE LESS THAN ADVERTISED QUANTITY.
Negative - Respond,English,very poor quality of packing.2 bottle are already open in box waste of money
Negative - Respond,English,it's quality product
Negative - Respond,English,gndi quality
Negative - Respond,English,Colour is slightly different.i ordered pink. and there is no jute rope on the vase.
Negative - Respond,English,This!
Negative - Respond,English,I Buy Many things From daraz But This My One of worst Order Bcz The Glasses Quaity is Very very Poor seriosly And The Nose Tips Is Already Broken From The Glasses Wow
Negative - Respond,English,"recommended. Not ideal for places where electricity fluctuates often, have burnt my adapter."
Negative - Respond,English,Shoes is ok according to price but I ordered 8no. and he delivered 7 no. and the comfortability level of shoes is just compromising.
Negative - Respond,English,low quality product and broken pakge
Negative - Respond,English,Asked for an. Hdmi was sent a LAN cable...
Negative - Respond,English,"Very poor product, waste of money don’t buy"
Negative - Respond,English,Very Poor quality audio
Negative - Respond,English,bad quality. never buy this
Negative - Respond,English,original price was 240 but they gave me at 339.
Negative - Respond,English,very bad experience this time ketchup package damage 😫
Negative - Respond,English,lil bit disappointed i think chargeable but its not
Negative - Respond,English,size is too small cant fit to my bike cd dream
Negative - Respond,English,Changhang ruba Product is awesome and performance is great but the guys not installed the Ac even they mentioned on the top free installations.
Negative - Respond,English,Worst ever experience with Daraz . All strip was covered with sticky glue which was just horrible . Only 10 percent of whole strip is working .remaining is not working .
Negative - Respond,English,"I got Parcel without Certeza Glucometer Machine, only Lancing Pen was in the Parcel. But thanks to Daraz and RHS International🙂, I got my Money back and ordered a New Parcel from RHS International today. Hope new Parcel will reach safe with all Accessories 🙁"
Negative - Respond,English,"So, you're just going to let Gazans return on their own, without any support? Whom do you suppose will try to fill the vacuum? THINK. Would not it be Iran and Russia? If so, the entire vicious cycle will reset and begin again."
Negative - Respond,English,Sorry To Say that Product Quality is Very Pathatic & Poor.I used only One Time .The Cap Of The Steamer melt Down & D shaped.I want to lodge my Former Complaint to DARAZ & Your Company.Photo of D shaped Product is given above. You are Requsted To Replace The Junked Product as the soonest.
Negative - Respond,English,The packet was squashed and slightly damaged.
Negative - Respond,English,my experience was not good with this store so I don't know how is it I haven't used it
Negative - Respond,English,1 packet of ginger 250gm smell very bad
Negative - Respond,English,it's totally fake and fraud they have send me only ear plug and nothing more ???? where is nose dilators????? tell me?????
Negative - Respond,English,"""Yet, you still did not call for a ceasefire! 
Actually, a few days ago on TV, you said no to a ceasefire. Very smart, Senator, you play your audience very well. CNN's audience is different from X."""
Negative - Respond,English,"I was highly disappointed with this fragrance. The scent was overwhelming and gave me a headache within minutes of wearing it. It was a complete mismatch with my body chemistry, and instead of smelling pleasant, it became a nauseating experience"
Negative - Respond,English,not regional and not effective
Negative - Respond,English,"I have received 4 bottle of head and shoulder shampoo 360ml of each and two bottles are leaked a little shampoo is in lift in the bottle, the screen shot is proof not good packing and bottle cap are open not a good experience I have complain and daraz solve my problem...and I have a good experience with daraz thanks daraz to solve the problem now give you 5 star"
Negative - Respond,English,"Got only 1 instead of two, waste of money"
Negative - Respond,English,Received rotten leaves
Negative - Respond,English,rotten potatoes received
Negative - Respond,English,very poor quality really disappointed it's totally useless it takes more than one month to get my order I was not expecting this from seller
Negative - Respond,English,They Said It Will Work On PS4 But It Doesn’t And It does Not Even Work On Other Things!!!!!!!
Negative - Respond,English,Worst experience
Negative - Respond,English,"expired products sent me, very disappointed"
Negative - Respond,English,Shame on you 😏
Negative - Respond,English,farily pathetic
Negative - Respond,English,"very very bad experiences this time on 2 orders . all are totally rotten

please take action on it"
Negative - Respond,English,not effective
Negative - Respond,English,damage to Much
Negative - Respond,English,not durable
Negative - Respond,English,Too Too bad experience. Brushes are already used. There feathers are not in there positions. They are outside.
Negative - Respond,English,rong product snd me 😡😡😡
Negative - Respond,English,Bottle was broken so not totally satisfied. Product is fine it’s not really great experience when it’s not delivered in a good shape.
Negative - Respond,English,Perfect but delivery took too many days 😒
Negative - Respond,English,this is fakes star's
Negative - Respond,English,"The Super Asia cooler purchased from Daraz arrived a bit later than expected, which was disappointing and packing was also disappointing. After using it for a week, I noticed a strange smell in the air and some water droplets on the backside of the cooler."
Negative - Respond,English,"twisted and out of shape not welded properly, useless!"
Negative - Respond,English,sound quality is very low not fit for a motor car
Negative - Respond,English,Rubish.
Negative - Respond,English,"Discuss israel's attacks on palestine and contant instigations, abuses, and oppressive nature of IDF. Its sad that people turn their back on such a thing and blame victims."
Negative - Respond,English,Unsubscribed Pakwheels.
Negative - Respond,English,it was broken but packing was nice and delivered on time
Negative - Respond,Roman Urdu,kiitni gannddi choice hay
Negative - Respond,Roman Urdu,muharram ka hi ehtaran kr lo loferr larki😡
Negative - Respond,Roman Urdu,mujhe lagta hai ap Ghar bhethe bhethe pagal ho Gaye hai
Negative - Respond,Roman Urdu,"@mr.harris.official Mere hamsafar, Ishqiya, Sang e Mah etc etc dekhlo pta chal Jayega kitni acting ATI hai. And None of Hania's Drama serial is produced or directed by them"
Negative - Respond,Roman Urdu,gum sy lganyy prty hain.bus ye issue hai
Negative - Respond,Roman Urdu,Meethe alu 🙄
Negative - Respond,Roman Urdu,abi be sharam nhi ati yar apko sharam kro itna be bewkooof na samjo is Pakistan or kashmir ki awam ko
Negative - Respond,Roman Urdu,rundi blocked
Negative - Respond,Roman Urdu,jhoot bhi sahi se bol nai saktay jahil
Negative - Respond,Roman Urdu,help bh ghairatmand log krty hy aur kamzor phir muslim ki help sirf ALLAH krta hy.... but don't worry Pakistan will never help Palestinian or kashmir people. just enjoy speeches
Negative - Respond,Roman Urdu,"Sir remote nhi chl raha light ka
Aj hi deliver ki ha kuch bta skty hai ap "
Negative - Respond,Roman Urdu,Main ny kaha tha na k ye larka shadi k baad kisi kaam ka Nahi rahega
Negative - Respond,Roman Urdu,Bkwaaaaaas tareeeeeeen
Negative - Respond,Roman Urdu,"Ab to Bhai bs Khabar nama he bnte ja rhe ho ,,"
Negative - Respond,Roman Urdu,quality thori low ha magar thk ha bs
Negative - Respond,Roman Urdu,mujy mera order mila he nahi hwi pymt b ho chuki hai but order itns lait 8 din ho gy hain
Negative - Respond,Roman Urdu,zara ni achy mj chng karny àik chlta àik ni chlta
Negative - Respond,Roman Urdu,yr 1 ankh CHOTI or 1 ankh bari lag Rahi hai mujhe...
Negative - Respond,Roman Urdu,200 ki cheez 500 main di hy
Negative - Respond,Roman Urdu,thanks ki koi bat nae mam jo mian sb k chahne wale hain wo hamare sar ankhon pe
Negative - Respond,Roman Urdu,kesay kesay ghatiya log hain yar
Negative - Respond,Roman Urdu,Body banani hai toh itne itne risk lene hi padenge bro
Negative - Respond,Roman Urdu,Normal hai. kch bass nhi. baqi itni price mai yehi cheez milti hai.
Negative - Respond,Roman Urdu,It’s really disgusting 😏 May ALLAH guide her with right path
Negative - Respond,Roman Urdu,woe hota jo manzoor e khuda hota
Negative - Respond,Roman Urdu,It's faulted charging ni hoti  na ho rahe hyen just 1 hour chale hyen bs.i don't know it's scame or jenioun fault
Negative - Respond,Roman Urdu,Apny AmmA Abba ko Keh Tujhe logon sy bat krny ki Tmz sikha dein
Negative - Respond,Roman Urdu,dill ka sakoon boht bri nehmat hai har kisi ko muyasir nai hota ï¿½
Negative - Respond,Roman Urdu,Pura ly Letee Ho
Negative - Respond,Roman Urdu,Waqai insaniyat nai hai in me
Negative - Respond,Roman Urdu,aurat march ki waja se geo news bhukhalat ka shikar hojaiaur apni marzi pr otar aai
Negative - Respond,Roman Urdu,Astaghfirullah
Negative - Respond,Roman Urdu,aik paon qabar main hai kuch tau khiyal karo
Negative - Respond,Roman Urdu,why u do this u said lotion &shiner but there is only shiner in the pack that's not fair kindly send me complete set ... very disappointed to shop from u
Negative - Respond,Roman Urdu,ANSHAALLAH ANSHAALLAH
Negative - Respond,Roman Urdu,very bad experience ... hands free hi nh he ....khali box Aaya 😡😡
Negative - Respond,Roman Urdu,tm bhi ajeeb jahil sense hi nhi ha
Negative - Respond,Roman Urdu,Scientific reason agar itna important hota toi koi v excercise working nahi hota aur gymming ka koi matlab he nahi hota....bored of watching someone's yeh excercise karne se yaha pressure parega ..waha parega... gym jata hu thoda muscle torture krne...waha v agar Barbie ban jau...kya he fayda
Negative - Respond,Roman Urdu,Bro weight jab jada ralh k thoda sa muscle ko support de k muscle hypertrophy ho sakhti h tho kyu na kre
Negative - Respond,Roman Urdu,sahab aap ik par tanqeed kerty kerty ik sey nafrat wali stage par pohcnh gaay hoo ab bas kr doo kab tak itni gandee galian bardasht krty rahoo gaay
Negative - Respond,Roman Urdu,shirt wesi hii thi jese picture main thi....magar kapre ki quality kam thi price kee hissab see .....Value to Money nii tha
Negative - Respond,Roman Urdu,Khofy Khuda kro maj
Negative - Respond,Roman Urdu,itna handsome lrka br br ni milta
Negative - Respond,Roman Urdu,ya blue hai mana black order kia tha
Negative - Respond,Roman Urdu,Zamzam copy
Negative - Respond,Roman Urdu,Navjot bhaiya becoming naughty day by day
Negative - Respond,Roman Urdu,Khud ki body toh bna yrr
Negative - Respond,Roman Urdu,Ye Kia Show hai muje tu koi samj nai aa rahi esko ban hona chaye
Negative - Respond,Roman Urdu,hamari nasle barbad ho jaein gi
Negative - Respond,Roman Urdu,Product ki Finishing bilkul Achi nahi hai Glue clear visible hai or side pe white pattern thek se print bhi nahi hua hai. jesa photo me dekhaya hai wesa bilkul nahi hai kindly improve karen
Negative - Respond,Roman Urdu,maryam : apko chakkar nahi atty? umar : quuunnn? maryam : sara din mery damaagh mai ghonty rehty rehty hain !ï¿½
Negative - Respond,Roman Urdu,Aara bhaiya aap aapna content baniya dusro ko kiyu roast karna ha ya to ik kam kro ya channel band karo aur roast channel khol loo
Negative - Respond,Roman Urdu,Toba . Toba
Negative - Respond,Roman Urdu,Bilkul achi quality ni h
Negative - Respond,Roman Urdu,aik dum bkwas h bilkul b glow nhi h daraz waly dhoka dy rhy h waste of money not recommend.i want my 300 back
Negative - Respond,Roman Urdu,teri ammi ko bola nikal sale halala ki paidaish
Negative - Respond,Roman Urdu,cow lg rhi he TBH 😂
Negative - Respond,Roman Urdu,ham bhi pakistan military academy say aisay hi local transport per atay jatay rehay hain hamaray sath to aisa shughal nahi hua tha ghareeb ka bacha yahan bhi maar kha gaya
Negative - Respond,Roman Urdu,qayamat khud bataye gi vo kyu zarori thi
Negative - Respond,Roman Urdu,pic me jo features dikhaye hain inme se ko features nhi hai koi app nhi hai na touch screen hai srf ek button hai
Negative - Respond,Roman Urdu,bht bora dress. pena iny Allah ka dr ni.
Negative - Respond,Roman Urdu,Packet m ak piece aya speaker kindly hame 2 sra piece b send kren
Negative - Respond,Roman Urdu,Kashi Gupta ke liye h ye
Negative - Respond,Roman Urdu,Sary Munafiq dekh nhi rahy or hassad bhi kar rahy Hain
Negative - Respond,Roman Urdu,sorry to sae unn ke izzat iss martaba several notches aur kam ho gayae hae bohat saarae log inteha ke ahmaq haen aur nuqsan inn ko khud ho ga
Negative - Respond,Roman Urdu,bht afsos Howaa ma liberal sy liberal ho kr b sochon tb b is trh ka libas Lrki ni pehn skti pata ni kahan sy Himmat late han ye😫
Negative - Respond,Roman Urdu,sb jhot hai ye
Negative - Respond,Roman Urdu,to haters bhaunk lenge yahi likha na maine? abhi kya evict-evict laga rakha hai? cheap tactics to gain comments and rts
Negative - Respond,Roman Urdu,Fazool chalta hi nae cal hi nae hoti
Negative - Respond,Roman Urdu,itnay fame Kay tum liaq hi ni ho
Negative - Respond,Roman Urdu,bekar sol nich phata hoa ha very disappointment hoi boht
Negative - Respond,Roman Urdu,Ahmad bhai aj phr disappoint kia apne.. :(
Negative - Respond,Roman Urdu,oor haqeeqat mein koye bhi drama dhung ka nahin a raha ya yeah kahein humein acha nahin lug raha.
Negative - Respond,Roman Urdu,Apni zaban to thik Karo usko bol rahy ho wo to hai he gaalt
Negative - Respond,Roman Urdu,astakfirulllah ï¿½ï¿½ï¿½ï¿½ï¿½ ye kab kasy kaha kyu or kis ny keya ï¿½ï¿½ï¿½ï¿½ lahoollllllllllllllllllll walaaaaa quwataaaaa ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½
Negative - Respond,Roman Urdu,fazoul
Negative - Respond,Roman Urdu,Jo kam wo karte wo bht sharamnaak hai
Negative - Respond,Roman Urdu,tou mjhy b yad krwa dyn k kia tweet thi kia likha tha m ne aur kb ki thi
Negative - Respond,Roman Urdu,Boht e bura experience rhaa..1 khrab hai ..or dusry ki sound quality boht buri..Or Cover b toota  hwa.. Allah puchy ap logon ko.. shraft sy return kijeyeee..
Negative - Respond,Roman Urdu,had hoti ha bhai fakeness ki bhi
Negative - Respond,Roman Urdu,fasla rakain pir bad mein ap ky ghar waly desi family mein shadi ni karty
Negative - Respond,Roman Urdu,mery bhai is se bohat se files miss hu jati hain not good
Negative - Respond,Roman Urdu,pak team ko sirf be izti hoti ha
Negative - Respond,Roman Urdu,Isbar Alu sahi nhi the
Negative - Respond,Roman Urdu,Pr jab weight Kam ho jayega toh wo working set nhi warm-up set ho jayega or muscle toh build surf working set se hi banti hai ?
Negative - Respond,Roman Urdu,aur waise bi aj kal ke dramas mein bohat kuch galt dikha rehe he
Negative - Respond,Roman Urdu,"mai sochta tha ye banda kaafi samajhdaar hai lakin ye bhi logical replies dene ke bajaye personal attacks aur body shaming kar raha hai. Bhai samajhdaar ho toh ya toh completely ignore karo aur apna kaam karte raho, ya phir personal attacks ke bajaye logical counter rakho."
Negative - Respond,Roman Urdu,ye bat tum yahoodi ko bolo atankwadi tum ho jo musalman se nafrat ki aag me insaniyat ke sabse bade dushman yahoodi ko support karte ho ye log to face to face mara hai unlog chote bache ka upar bom feka kisi aurat ya admi bacha ko goli mar diya wi bhi waha ke civilian hi hai
Negative - Respond,Roman Urdu,C- Bum - cameraman jaldi focus karo
Negative - Respond,Roman Urdu,un logo ke saath jin mei tameez nahi lekin dusru ko sabq dena ka buhat shok hai.
Negative - Respond,Roman Urdu,in students ko wapis tou le aain lekin do we have the facility to diagnose or treat this virus? can we stop it from spreading? do you want it to spread in pakistan? they have a better chance if they stay there until a vaccine is made
Negative - Respond,Roman Urdu,"boht kharab quality,  bilkul demage halat mai mlay zip b kharab "
Negative - Respond,Roman Urdu,😂ap cristen hi ap ki shakel bta rhi hi Muslim ke face me noor hota hi
Negative - Respond,Roman Urdu,yar qiyamat ki nishaniya 😞
Negative - Respond,Roman Urdu,apni zimmedari pr khareedna buhut ghatiya shoes hen .sole plastic ka h or totally uncomfortable h .issy behtar h china ka chappal buy krlo
Negative - Respond,Roman Urdu,"Not satisfied with quality and size of product. 
 It doesnt fitt to wheel chair 
 Size is very small 
 I will not recommend"
Negative - Respond,Roman Urdu,right hand ki finger rakh k parthe hain left hand nhi rakhte
Negative - Respond,Roman Urdu,ye kia zalalt ha
Negative - Respond,Roman Urdu,mje to apke ghr k ye lwn acha lgtaï¿½
Negative - Respond,Roman Urdu,Youtiyas like Tumhare baap ka tax hai jo chor dien
Negative - Respond,Urdu,سامان کی بات نہیں سُنی، بہت بڑی غلطی
